@relation knowledge
@attribute red numeric
@attribute green numeric
@attribute blue numeric
@attribute hue_sin numeric
@attribute hue_cos numeric
@attribute saturation numeric
@attribute value numeric
@attribute vol numeric
@attribute length_1 numeric
@attribute length_2 numeric
@attribute length_3 numeric
@attribute cuboid_length_relation_1 numeric
@attribute cuboid_length_relation_2 numeric
@attribute label_2d {baguette,corny,wlanadapter,dlink,cafetfilter}
@attribute shape numeric
@attribute class {r_containerbox,nor_containerbox}
@data
145,14,12,0.669131,0.743145,0.940139,0.568847,0.00812087,0.415574,0.415574,0.0720742,1,5.76592,wlanadapter,1,r_containerbox
145,14,12,0.669131,0.743145,0.940811,0.568966,0.0081195,0.416149,0.416149,0.0728779,1,5.71022,wlanadapter,1,r_containerbox
145,14,11,0.642788,0.766044,0.942583,0.569019,0.00788591,0.41601,0.41601,0.0701414,1,5.93102,wlanadapter,1,r_containerbox
145,14,12,0.681998,0.731354,0.940342,0.56966,0.00882596,0.416114,0.416114,0.0787201,1,5.28599,?,1,r_containerbox
145,14,12,0.642788,0.766044,0.940293,0.569926,0.0080424,0.415791,0.415791,0.0718129,1,5.78992,cafetfilter,1,r_containerbox
145,14,12,0.656059,0.75471,0.940589,0.569469,0.00805587,0.415142,0.415142,0.0720508,1,5.76179,wlanadapter,1,r_containerbox
145,15,12,0.681998,0.731354,0.938651,0.570523,0.00815322,0.414914,0.414914,0.071914,1,5.76959,wlanadapter,1,r_containerbox
145,15,12,0.656059,0.75471,0.938941,0.568762,0.00910001,0.415697,0.415697,0.0811703,1,5.12129,wlanadapter,0,r_containerbox
144,12,10,0.642788,0.766044,0.947942,0.565822,0.00805999,0.416226,0.416226,0.0722453,1,5.76129,wlanadapter,1,r_containerbox
145,15,12,0.681998,0.731354,0.938791,0.569846,0.00828537,0.415427,0.415427,0.0740188,1,5.61244,?,1,r_containerbox
143,12,10,0.615661,0.788011,0.950081,0.564079,0.008107,0.412703,0.412703,0.0722138,1,5.71501,wlanadapter,0,r_containerbox
145,14,12,0.62932,0.777146,0.940968,0.569398,0.00804968,0.414575,0.414575,0.0725681,1,5.71291,?,0,r_containerbox
144,14,12,0.642788,0.766044,0.941037,0.568571,0.00863953,0.414704,0.414704,0.0765932,1,5.41437,?,1,r_containerbox
