@relation knowledge
@attribute red numeric
@attribute green numeric
@attribute blue numeric
@attribute hue_sin numeric
@attribute hue_cos numeric
@attribute saturation numeric
@attribute value numeric
@attribute vol numeric
@attribute length_1 numeric
@attribute length_2 numeric
@attribute length_3 numeric
@attribute cuboid_length_relation_1 numeric
@attribute cuboid_length_relation_2 numeric
@attribute label_2d string
@attribute shape numeric
@attribute class {baguette,corny,dlink}
@data
123,117,125,0.694658,-0.71934,0.335279,0.571263,0.00238321,0.238177,0.238177,0.0607654,1,3.91962,?,3,http://www.suturo.de/ontology/hierarchy#dlink
123,116,125,0.694658,-0.71934,0.336535,0.570529,0.00195966,0.238587,0.238587,0.0507204,1,4.70397,dlink,2,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.694658,-0.71934,0.336504,0.571641,0.00242479,0.240368,0.240368,0.0619968,1,3.8771,?,3,http://www.suturo.de/ontology/hierarchy#dlink
123,116,124,0.681998,-0.731354,0.335812,0.569591,0.0020241,0.239509,0.239509,0.0512607,1,4.67236,?,2,http://www.suturo.de/ontology/hierarchy#dlink
124,118,126,0.694658,-0.71934,0.332595,0.573361,0.00278997,0.237354,0.237354,0.072342,1,3.281,dlink,3,http://www.suturo.de/ontology/hierarchy#dlink
123,116,124,0.681998,-0.731354,0.33661,0.569659,0.00203401,0.243655,0.243655,0.0506389,1,4.81161,dlink,3,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.681998,-0.731354,0.332926,0.571787,0.0019296,0.241766,0.241766,0.0484162,1,4.99349,?,2,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.681998,-0.731354,0.331974,0.571252,0.00218819,0.242232,0.242232,0.0540774,1,4.47935,?,3,http://www.suturo.de/ontology/hierarchy#dlink
123,116,125,0.669131,-0.743145,0.334367,0.569621,0.00205189,0.238745,0.238745,0.0521684,1,4.57644,?,2,http://www.suturo.de/ontology/hierarchy#dlink
123,116,125,0.694658,-0.71934,0.336974,0.57049,0.0020776,0.237699,0.237699,0.0530571,1,4.48007,?,2,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.656059,-0.75471,0.334503,0.572104,0.00291423,0.24252,0.24252,0.0719781,1,3.36935,dlink,3,http://www.suturo.de/ontology/hierarchy#dlink
123,116,125,0.681998,-0.731354,0.334434,0.570379,0.00215025,0.241535,0.241535,0.0537752,1,4.49157,dlink,2,http://www.suturo.de/ontology/hierarchy#dlink
123,116,125,0.681998,-0.731354,0.336379,0.570621,0.00190091,0.245635,0.245635,0.0466345,1,5.26724,?,3,http://www.suturo.de/ontology/hierarchy#dlink
123,116,125,0.681998,-0.731354,0.335389,0.570928,0.00221523,0.243681,0.243681,0.0544418,1,4.476,dlink,3,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.62932,-0.777146,0.333726,0.571139,0.00250784,0.24226,0.24226,0.0629316,1,3.84958,dlink,3,http://www.suturo.de/ontology/hierarchy#dlink
123,116,125,0.656059,-0.75471,0.335679,0.570334,0.00195502,0.236637,0.236637,0.0501045,1,4.72286,dlink,2,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.681998,-0.731354,0.335711,0.571168,0.00232837,0.239272,0.239272,0.0582637,1,4.1067,?,3,http://www.suturo.de/ontology/hierarchy#dlink
124,117,125,0.71934,-0.694658,0.33395,0.573417,0.00218318,0.243861,0.243861,0.0542955,1,4.49137,?,3,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.707107,-0.707107,0.334845,0.571508,0.0022056,0.241503,0.241503,0.0545984,1,4.42326,?,2,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.694658,-0.71934,0.334257,0.571468,0.00288841,0.242592,0.242592,0.0710924,1,3.41234,?,2,http://www.suturo.de/ontology/hierarchy#dlink
123,116,125,0.642788,-0.766044,0.334681,0.570671,0.00209124,0.244412,0.244412,0.0511668,1,4.77676,?,3,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.681998,-0.731354,0.333421,0.570886,0.00231584,0.243741,0.243741,0.0577745,1,4.21883,?,1,http://www.suturo.de/ontology/hierarchy#dlink
123,116,124,0.694658,-0.71934,0.336314,0.56991,0.00209985,0.243465,0.243465,0.0516258,1,4.71596,?,3,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.681998,-0.731354,0.333109,0.571882,0.00229871,0.240599,0.240599,0.0572092,1,4.20561,?,3,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.681998,-0.731354,0.334084,0.570802,0.0027585,0.23876,0.23876,0.0701656,1,3.40281,dlink,3,http://www.suturo.de/ontology/hierarchy#dlink
123,116,125,0.694658,-0.71934,0.335761,0.570292,0.00205452,0.243705,0.243705,0.0505284,1,4.82313,dlink,2,http://www.suturo.de/ontology/hierarchy#dlink
123,116,124,0.694658,-0.71934,0.337153,0.570857,0.00241476,0.2406,0.2406,0.061952,1,3.88366,?,2,http://www.suturo.de/ontology/hierarchy#dlink
123,117,126,0.707107,-0.707107,0.331302,0.572897,0.00270841,0.24211,0.24211,0.0673551,1,3.59453,?,2,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.694658,-0.71934,0.334597,0.572297,0.00246387,0.238492,0.238492,0.061895,1,3.85317,?,3,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.656059,-0.75471,0.334744,0.571857,0.00254987,0.238486,0.238486,0.0639785,1,3.7276,?,3,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.707107,-0.707107,0.332952,0.572407,0.00263631,0.238987,0.238987,0.065927,1,3.62502,?,3,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.681998,-0.731354,0.33542,0.571634,0.00299776,0.239149,0.239149,0.0750185,1,3.18787,?,2,http://www.suturo.de/ontology/hierarchy#dlink
124,117,125,0.681998,-0.731354,0.334088,0.572456,0.0028898,0.240731,0.240731,0.0716156,1,3.36143,?,2,http://www.suturo.de/ontology/hierarchy#dlink
123,116,125,0.681998,-0.731354,0.335509,0.570462,0.00268718,0.243605,0.243605,0.0660942,1,3.68572,?,3,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.694658,-0.71934,0.334446,0.571695,0.00290029,0.237301,0.237301,0.0741735,1,3.19928,?,3,http://www.suturo.de/ontology/hierarchy#dlink
123,116,125,0.681998,-0.731354,0.334832,0.569752,0.00228656,0.238686,0.238686,0.0580923,1,4.10874,dlink,3,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.707107,-0.707107,0.335286,0.571258,0.00199155,0.242214,0.242214,0.0499429,1,4.84982,?,2,http://www.suturo.de/ontology/hierarchy#dlink
123,116,125,0.656059,-0.75471,0.3366,0.570673,0.00265698,0.239013,0.239013,0.0675914,1,3.53615,?,3,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.694658,-0.71934,0.334534,0.571525,0.00294991,0.238851,0.238851,0.0747174,1,3.19673,dlink,3,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.681998,-0.731354,0.334528,0.571254,0.00209528,0.237815,0.237815,0.0528896,1,4.49644,dlink,3,http://www.suturo.de/ontology/hierarchy#dlink
123,117,125,0.681998,-0.731354,0.334794,0.571299,0.00204719,0.241473,0.241473,0.0514147,1,4.69658,?,2,http://www.suturo.de/ontology/hierarchy#dlink
