@relation knowledge
@attribute red numeric
@attribute green numeric
@attribute blue numeric
@attribute hue_sin numeric
@attribute hue_cos numeric
@attribute saturation numeric
@attribute value numeric
@attribute vol numeric
@attribute length_1 numeric
@attribute length_2 numeric
@attribute length_3 numeric
@attribute cuboid_length_relation_1 numeric
@attribute cuboid_length_relation_2 numeric
@attribute label_2d string
@attribute shape numeric
@attribute class {http://www.suturo.de/ontology/hierarchy#baguette,http://www.suturo.de/ontology/hierarchy#corny}
@data
153,96,73,0.920505,0.390731,0.547448,0.602224,0.0015341,0.218896,0.218896,0.0574285,1,3.81162,?,1,http://www.suturo.de/ontology/hierarchy#baguette
154,96,75,0.951057,0.309017,0.542939,0.604594,0.00124456,0.19966,0.19966,0.0505179,1,3.95226,?,1,http://www.suturo.de/ontology/hierarchy#baguette
154,97,75,0.951057,0.309017,0.54084,0.605664,0.00131679,0.20098,0.20098,0.0541928,1,3.70861,?,0,http://www.suturo.de/ontology/hierarchy#baguette
154,96,75,0.956305,0.292372,0.542051,0.604561,0.00135819,0.205269,0.205269,0.0549593,1,3.73492,?,1,http://www.suturo.de/ontology/hierarchy#baguette
154,96,75,0.945519,0.325568,0.54141,0.604676,0.00140963,0.204657,0.204657,0.0570203,1,3.5892,cafetfilter,1,http://www.suturo.de/ontology/hierarchy#baguette
154,96,75,0.93358,0.358368,0.543005,0.60458,0.00127573,0.203169,0.203169,0.0511902,1,3.96891,?,0,http://www.suturo.de/ontology/hierarchy#baguette
154,96,74,0.927184,0.374607,0.544961,0.604806,0.0014163,0.205516,0.205516,0.0566953,1,3.62492,dlink,1,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.927184,0.374607,0.54556,0.603511,0.00124079,0.203764,0.203764,0.0502019,1,4.0589,?,1,http://www.suturo.de/ontology/hierarchy#baguette
153,96,75,0.951057,0.309017,0.541913,0.604194,0.00125077,0.20047,0.20047,0.0513057,1,3.90736,?,1,http://www.suturo.de/ontology/hierarchy#baguette
154,97,75,0.939693,0.34202,0.541313,0.605779,0.00149916,0.203129,0.203129,0.0611387,1,3.32243,dlink,0,http://www.suturo.de/ontology/hierarchy#baguette
153,97,74,0.927184,0.374607,0.544252,0.604022,0.00131029,0.204604,0.204604,0.0521562,1,3.92291,?,1,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.913545,0.406737,0.543573,0.603794,0.00122673,0.207531,0.207531,0.0477305,1,4.34797,?,0,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.927184,0.374607,0.543565,0.603403,0.00142173,0.203321,0.203321,0.0582332,1,3.49149,?,0,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.945519,0.325568,0.547003,0.603492,0.00131026,0.202903,0.202903,0.0521928,1,3.88757,?,1,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.939693,0.34202,0.541483,0.602359,0.00128944,0.205489,0.205489,0.0510457,1,4.02559,cafetfilter,0,http://www.suturo.de/ontology/hierarchy#baguette
154,96,74,0.939693,0.34202,0.544033,0.604491,0.00132429,0.202307,0.202307,0.0540885,1,3.74029,dlink,3,http://www.suturo.de/ontology/hierarchy#baguette
154,96,75,0.951057,0.309017,0.542266,0.605154,0.00129329,0.203066,0.203066,0.0520856,1,3.8987,?,0,http://www.suturo.de/ontology/hierarchy#baguette
153,96,75,0.93358,0.358368,0.541976,0.603498,0.00128732,0.204701,0.204701,0.0513154,1,3.98909,dlink,3,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.93358,0.358368,0.54605,0.602215,0.00128966,0.204348,0.204348,0.0521253,1,3.92033,?,3,http://www.suturo.de/ontology/hierarchy#baguette
154,96,75,0.939693,0.34202,0.541925,0.605016,0.00130485,0.204697,0.204697,0.0518147,1,3.95057,?,0,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.93358,0.358368,0.544879,0.603353,0.00125543,0.201018,0.201018,0.0499146,1,4.02723,?,3,http://www.suturo.de/ontology/hierarchy#baguette
154,97,75,0.939693,0.34202,0.542174,0.605753,0.00126346,0.20329,0.20329,0.0516827,1,3.93343,?,0,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.951057,0.309017,0.546372,0.603363,0.00130295,0.201016,0.201016,0.0532973,1,3.7716,?,1,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.945519,0.325568,0.543894,0.60376,0.00120475,0.201921,0.201921,0.0495484,1,4.07524,?,1,http://www.suturo.de/ontology/hierarchy#baguette
154,96,74,0.945519,0.325568,0.543998,0.604899,0.00121175,0.200921,0.200921,0.0499414,1,4.02314,wlanadapter,1,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.951057,0.309017,0.543663,0.603215,0.00133933,0.201905,0.201905,0.0545353,1,3.70228,?,0,http://www.suturo.de/ontology/hierarchy#baguette
153,97,75,0.927184,0.374607,0.542616,0.604273,0.00145005,0.203267,0.203267,0.057357,1,3.54389,?,0,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.93358,0.358368,0.543422,0.602749,0.00122011,0.201982,0.201982,0.0491044,1,4.11332,?,0,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.951057,0.309017,0.543972,0.602107,0.00138541,0.203392,0.203392,0.05608,1,3.62682,dlink,0,http://www.suturo.de/ontology/hierarchy#baguette
153,95,73,0.945519,0.325568,0.54731,0.602732,0.00125307,0.203224,0.203224,0.0509056,1,3.99217,cafetfilter,1,http://www.suturo.de/ontology/hierarchy#baguette
154,96,75,0.945519,0.325568,0.539324,0.604982,0.00132451,0.201192,0.201192,0.0544942,1,3.692,cafetfilter,3,http://www.suturo.de/ontology/hierarchy#baguette
154,96,74,0.939693,0.34202,0.547637,0.604542,0.0013629,0.216431,0.216431,0.051786,1,4.17934,?,1,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.93358,0.358368,0.54482,0.603282,0.0014512,0.200554,0.200554,0.0601761,1,3.33278,dlink,0,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.93358,0.358368,0.543517,0.602284,0.00133249,0.201377,0.201377,0.0542032,1,3.71522,?,1,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.93358,0.358368,0.543866,0.603657,0.00129379,0.203618,0.203618,0.0517908,1,3.93154,?,1,http://www.suturo.de/ontology/hierarchy#baguette
154,96,75,0.927184,0.374607,0.543593,0.605542,0.00131486,0.203153,0.203153,0.0523545,1,3.88034,?,3,http://www.suturo.de/ontology/hierarchy#baguette
154,97,75,0.939693,0.34202,0.541356,0.605252,0.00136153,0.201185,0.201185,0.056121,1,3.58484,cafetfilter,0,http://www.suturo.de/ontology/hierarchy#baguette
154,97,75,0.93358,0.358368,0.542407,0.605544,0.00135168,0.201724,0.201724,0.0554824,1,3.63582,?,1,http://www.suturo.de/ontology/hierarchy#baguette
154,97,75,0.927184,0.374607,0.542464,0.604491,0.00125473,0.203796,0.203796,0.0510076,1,3.99541,?,1,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.920505,0.390731,0.545871,0.604071,0.00127786,0.201278,0.201278,0.0525802,1,3.82802,?,1,http://www.suturo.de/ontology/hierarchy#baguette
153,96,75,0.939693,0.34202,0.542467,0.604115,0.00127989,0.204709,0.204709,0.0518804,1,3.94578,cafetfilter,1,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.927184,0.374607,0.543775,0.603801,0.00146699,0.20253,0.20253,0.0598659,1,3.38307,?,0,http://www.suturo.de/ontology/hierarchy#baguette
153,96,75,0.927184,0.374607,0.541845,0.603834,0.00141556,0.201866,0.201866,0.0579843,1,3.48138,?,0,http://www.suturo.de/ontology/hierarchy#baguette
154,96,74,0.920505,0.390731,0.545076,0.605324,0.00134316,0.200597,0.200597,0.0555237,1,3.61281,cafetfilter,1,http://www.suturo.de/ontology/hierarchy#baguette
153,96,75,0.945519,0.325568,0.541663,0.604259,0.00137136,0.200898,0.200898,0.056537,1,3.55339,?,1,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.951057,0.309017,0.542668,0.603669,0.00137266,0.201741,0.201741,0.056251,1,3.58644,?,3,http://www.suturo.de/ontology/hierarchy#baguette
153,96,74,0.927184,0.374607,0.544311,0.603633,0.00126192,0.200343,0.200343,0.0520059,1,3.85231,?,1,http://www.suturo.de/ontology/hierarchy#baguette
