@relation knowledge
@attribute red numeric
@attribute green numeric
@attribute blue numeric
@attribute hue_sin numeric
@attribute hue_cos numeric
@attribute saturation numeric
@attribute value numeric
@attribute vol numeric
@attribute length_1 numeric
@attribute length_2 numeric
@attribute length_3 numeric
@attribute cuboid_length_relation_1 numeric
@attribute cuboid_length_relation_2 numeric
@attribute label_2d {baguette,corny,wlanadapter,dlink,cafetfilter}
@attribute shape numeric
@attribute class {baguette,corny,dlink,lion,milka,pringles,rubix,teabox}
@data
139,75,51,0.996195,0.0871557,0.662627,0.546776,0.00117511,0.212548,0.212548,0.0451062,1,4.71218,baguette,1,baguette
139,75,52,0.999848,-0.0174524,0.661085,0.547557,0.00112064,0.212455,0.212455,0.0430247,1,4.93798,baguette,1,baguette
139,76,53,0.997564,0.0697565,0.656175,0.549418,0.0011576,0.216414,0.216414,0.0436303,1,4.96019,baguette,1,baguette
140,76,52,0.994522,0.104528,0.65949,0.549907,0.00114138,0.216509,0.216509,0.0432153,1,5.01001,baguette,1,baguette
139,75,51,0.994522,0.104528,0.661448,0.547445,0.00119113,0.210275,0.210275,0.0461968,1,4.55173,baguette,1,baguette
139,76,52,0.997564,0.0697565,0.659116,0.54948,0.00116794,0.217593,0.217593,0.0437389,1,4.97482,baguette,1,baguette
139,76,53,0.996195,0.0871557,0.656907,0.549002,0.00115075,0.216103,0.216103,0.0431945,1,5.00303,baguette,1,baguette
140,76,53,0.999391,0.0348995,0.65726,0.550158,0.0012242,0.21737,0.21737,0.0459268,1,4.73296,baguette,1,baguette
139,76,52,0.997564,0.0697565,0.658326,0.549259,0.00115811,0.218753,0.218753,0.0431103,1,5.07426,baguette,1,baguette
140,76,53,0.999391,0.0348995,0.655614,0.550548,0.00115939,0.217878,0.217878,0.0433783,1,5.02274,baguette,1,baguette
139,76,52,1,1.7949e-09,0.660032,0.549066,0.00115454,0.216089,0.216089,0.0435622,1,4.96047,baguette,1,baguette
140,76,53,0.999848,0.0174524,0.656541,0.550348,0.00118634,0.218058,0.218058,0.044365,1,4.9151,baguette,1,baguette
139,76,52,0.997564,0.0697565,0.660289,0.548117,0.00115077,0.218362,0.218362,0.0427246,1,5.11091,baguette,1,baguette
139,75,52,0.996195,0.0871557,0.662151,0.547143,0.00116857,0.215961,0.215961,0.0439709,1,4.91144,baguette,1,baguette
139,76,52,0.996195,0.0871557,0.660269,0.548084,0.00115722,0.216812,0.216812,0.0435097,1,4.98307,baguette,1,baguette
139,75,52,0.996195,0.0871557,0.662845,0.54753,0.00119403,0.215142,0.215142,0.045257,1,4.75377,baguette,1,baguette
139,76,51,0.997564,0.0697565,0.663034,0.54787,0.00114928,0.215548,0.215548,0.0435116,1,4.95381,baguette,1,baguette
139,75,52,0.999391,0.0348995,0.66203,0.548448,0.00114632,0.21758,0.21758,0.0428094,1,5.08253,baguette,1,baguette
139,76,52,0.990268,0.139173,0.661909,0.548879,0.00112537,0.216818,0.216818,0.0425574,1,5.09472,baguette,1,baguette
139,76,53,0.999391,0.0348995,0.658968,0.54955,0.00116449,0.216944,0.216944,0.0434916,1,4.98819,baguette,1,baguette
139,76,52,0.996195,0.0871557,0.659923,0.548905,0.00115794,0.217158,0.217158,0.0436164,1,4.97881,baguette,1,baguette
